Designator,Footprint,Quantity,Value,LCSC Part #
C1,SM_C_0805,1,100n,
C2,SM_R_1206,1,2.2u,
C3,SM_R_1206,1,1u,
"C4, C5",SM_C_0805,2,10n,
"J1, J2",SIL-4_Grove_Labelled_Correct,2,DATA,
J3,SM_SOLDER_ID_4_WAY,1,ID_A0,
J4,SM_SOLDER_ID_4_WAY,1,ID_A1,
J5,PCB_60x55_outline,1,PCB,
J6,2019_011_16_CuriousElectricCompany_Logo_Round_Logo_No_words_KiCAD_10mm_PCBLogo,1,LOGO1,
J7,TCEC_Words_13mm,1,LOGO2,
J8,TH_SIL-2_screw_terminal_32A_LARGE,1,INPUT,
J9,TH_SIL-2_screw_terminal_32A_LARGE,1,OUTPUT,
"R1, R2",SM0805,2,4.7k,
"R3, R4, R5",SM0805,3,470R,
R6,Rshunt_universal,1,R_SHUNT,
U1,MSOP10-0.5,1,ISL28022,
